1/1    金币 400

1/10   攻杀剑术
1/10   施毒术
1/10   隐身术
1/10   大火球
1/10   召唤骷髅
1/10   瞬息移动
1/10   灵魂火符
1/10   雷电术
1/10   地狱火
1/10   诱惑之光

1/20   抗拒火环
1/20   精神力战法
1/20   火球术
1/20   治愈术
1/20   基本剑术

1/50   八荒
1/50   半月
1/50   海魂
1/50   凌风
1/50   蓝色水晶戒指
1/50   魔鬼项链
1/50   琥珀项链
1/50   凤凰明珠
1/50   坚固手套
1/50   魔力手镯
1/50   灯笼项链

1/30    铁剑
1/30    短剑

1/200    祈祷头盔

1/30    轻型盔甲(男)
1/30    轻型盔甲(女)
1/30    青铜斧
1/30    黑檀项链
1/30    黄色水晶项链
1/30    黑色水晶项链
1/30    青铜头盔
1/50    中型盔甲(男)
1/50    中型盔甲(女)
1/20    金创药(中量)
1/20    金创药(中量)
1/20    金创药(中量)
1/20    金创药(中量)
1/20    魔法药(中量)
1/20    魔法药(中量)
1/20    魔法药(中量)
1/20    魔法药(中量)
